Farm ID,Location,Farm Size (Acres),Crop Type,Water Availability (mm),Soil Moisture (%),Precipitation Forecast (mm),Irrigation Need (mm),Risk Level,Decision Recommendation
101,"40.7128, -74.0060",324,Wheat,189.0,42.0,42,24,Low,Irrigate lightly
102,"34.0522, -118.2437",562,Soy,218.0,36.0,30,29,High,Irrigate as needed
103,"29.7604, -95.3698",543,Corn,255.0,32.0,27,33,Medium,Increase water monitoring
104,"41.8781, -87.6298",411,Barley,,45.0,38,33,High,Irrigate lightly
105,"41.8781, -87.6298",110,Soy,137.0,47.0,26,21,Low,Monitor soil moisture
106,"29.7604, -95.3698",465,Soy,298.0,52.0,21,21,Low,Irrigate as needed
107,"41.8781, -87.6298",585,Corn,234.0,34.0,16,16,High,Irrigate as needed
108,"41.8781, -87.6298",597,Wheat,149.0,56.0,47,28,Medium,Irrigate lightly
109,"36.7783, -119.4179",314,Rice,116.0,50.0,21,14,High,Increase water monitoring
110,"34.0522, -118.2437",358,Soy,254.0,46.0,42,15,Low,Increase irrigation
111,"36.7783, -119.4179",385,Rice,195.0,40.0,17,32,Medium,Increase water monitoring
112,"36.7783, -119.4179",262,Barley,168.0,35.0,12,32,Low,Irrigate as needed
113,"41.8781, -87.6298",346,Soy,135.0,53.0,38,10,High,Increase water monitoring
114,"29.7604, -95.3698",321,Wheat,,34.0,10,35,Low,Irrigate as needed
115,"40.7128, -74.0060",560,Corn,139.0,41.0,48,10,Medium,Increase irrigation
116,"29.7604, -95.3698",244,Corn,181.0,59.0,30,17,High,Irrigate lightly
117,"41.8781, -87.6298",405,Wheat,235.0,47.0,26,26,Medium,Irrigate lightly
118,"40.7128, -74.0060",467,Corn,197.0,58.0,24,21,Low,Increase water monitoring
119,"41.8781, -87.6298",495,Barley,167.0,34.0,21,17,High,Irrigate lightly
120,"40.7128, -74.0060",561,Rice,263.0,51.0,20,17,Low,Increase irrigation
121,"41.8781, -87.6298",425,Barley,127.0,34.0,30,36,Medium,Monitor soil moisture
122,"34.0522, -118.2437",350,Corn,122.0,40.0,10,38,High,Monitor soil moisture
123,"41.8781, -87.6298",149,Soy,108.0,42.0,41,11,High,Irrigate as needed
124,"29.7604, -95.3698",118,Rice,263.0,38.0,36,20,Low,Increase irrigation
125,"36.7783, -119.4179",423,Soy,148.0,34.0,29,23,High,Increase water monitoring
126,"40.7128, -74.0060",573,Wheat,180.0,55.0,35,35,High,Monitor soil moisture
127,"36.7783, -119.4179",541,Soy,167.0,47.0,31,39,High,Irrigate as needed
128,"40.7128, -74.0060",324,Wheat,214.0,50.0,45,16,High,Increase water monitoring
129,"36.7783, -119.4179",428,Soy,161.0,31.0,14,14,High,Irrigate as needed
130,"29.7604, -95.3698",184,Corn,178.0,59.0,19,16,Medium,Irrigate as needed
131,"41.8781, -87.6298",324,Soy,233.0,37.0,16,37,Medium,Irrigate lightly
132,"29.7604, -95.3698",366,Rice,231.0,33.0,34,34,High,Irrigate as needed
133,"36.7783, -119.4179",235,Rice,268.0,49.0,40,10,Low,Monitor soil moisture
134,"34.0522, -118.2437",195,Wheat,189.0,51.0,37,17,High,Increase water monitoring
135,"40.7128, -74.0060",198,Wheat,154.0,45.0,26,30,Medium,Increase water monitoring
136,"41.8781, -87.6298",483,Corn,193.0,45.0,43,18,Low,Irrigate lightly
137,"29.7604, -95.3698",382,Corn,298.0,59.0,43,19,High,Increase water monitoring
138,"40.7128, -74.0060",551,Soy,152.0,36.0,41,21,Low,Irrigate lightly
139,"41.8781, -87.6298",561,Soy,149.0,59.0,25,17,Low,Increase irrigation
140,"34.0522, -118.2437",Unknown,Wheat,153.0,53.0,12,29,Medium,Monitor soil moisture
141,"40.7128, -74.0060",358,Corn,266.0,49.0,20,26,Low,Irrigate lightly
142,"40.7128, -74.0060",302,Wheat,138.0,55.0,32,31,Medium,Irrigate as needed
143,"36.7783, -119.4179",Unknown,Barley,288.0,48.0,13,13,Low,Increase water monitoring
144,"29.7604, -95.3698",545,Soy,264.0,31.0,43,14,High,Increase water monitoring
145,"36.7783, -119.4179",275,Wheat,284.0,48.0,47,23,Low,Increase water monitoring
146,"41.8781, -87.6298",445,Barley,290.0,,42,33,High,Increase irrigation
147,"34.0522, -118.2437",513,Rice,105.0,57.0,26,17,High,Increase water monitoring
148,"29.7604, -95.3698",299,Rice,295.0,36.0,N/A,23,Medium,Increase irrigation
149,"40.7128, -74.0060",228,Soy,271.0,43.0,26,37,High,Increase irrigation
150,"29.7604, -95.3698",178,Soy,208.0,33.0,13,39,Medium,Irrigate lightly
151,"40.7128, -74.0060",539,Soy,135.0,43.0,41,33,Low,Increase water monitoring
152,"40.7128, -74.0060",186,Barley,174.0,54.0,28,23,Medium,Increase water monitoring
153,"36.7783, -119.4179",362,Soy,128.0,37.0,26,29,Medium,Irrigate lightly
154,"36.7783, -119.4179",288,Soy,232.0,36.0,16,24,Medium,Irrigate as needed
155,"36.7783, -119.4179",210,Soy,277.0,43.0,23,37,Low,Monitor soil moisture
156,"40.7128, -74.0060",173,Corn,240.0,37.0,36,18,Low,Monitor soil moisture
157,"36.7783, -119.4179",541,Barley,298.0,30.0,34,19,High,Irrigate as needed
158,"40.7128, -74.0060",334,Wheat,278.0,34.0,14,37,High,Irrigate as needed
159,"29.7604, -95.3698",544,Corn,270.0,,44,16,Medium,Irrigate as needed
160,"29.7604, -95.3698",161,Barley,246.0,39.0,42,30,Medium,Monitor soil moisture
161,"34.0522, -118.2437",451,Wheat,198.0,52.0,30,30,Low,Increase irrigation
162,"40.7128, -74.0060",429,Corn,123.0,34.0,N/A,19,High,Increase water monitoring
163,"29.7604, -95.3698",244,Corn,153.0,49.0,11,13,Low,Irrigate lightly
164,"29.7604, -95.3698",332,Wheat,279.0,52.0,40,32,High,Irrigate lightly
165,"40.7128, -74.0060",358,Rice,241.0,31.0,27,26,High,Increase water monitoring
166,"29.7604, -95.3698",403,Wheat,292.0,35.0,17,34,High,Irrigate as needed
167,"34.0522, -118.2437",390,Soy,277.0,52.0,18,28,Medium,Irrigate lightly
168,"41.8781, -87.6298",277,Wheat,160.0,37.0,48,17,Low,Increase irrigation
169,"36.7783, -119.4179",488,Soy,189.0,33.0,18,32,Medium,Monitor soil moisture
170,"36.7783, -119.4179",436,Corn,174.0,52.0,25,31,Low,Irrigate lightly
171,"36.7783, -119.4179",160,Barley,181.0,30.0,29,38,Medium,Increase irrigation
172,"41.8781, -87.6298",501,Wheat,231.0,57.0,16,29,Low,Irrigate lightly
173,"40.7128, -74.0060",484,Soy,112.0,43.0,48,9999,Medium,Irrigate lightly
174,"29.7604, -95.3698",585,Soy,123.0,46.0,38,12,Medium,Increase water monitoring
175,"40.7128, -74.0060",551,Wheat,132.0,50.0,25,20,High,Increase water monitoring
176,"29.7604, -95.3698",330,Soy,150.0,48.0,24,34,High,Irrigate as needed
177,"40.7128, -74.0060",328,Soy,151.0,52.0,48,31,High,Monitor soil moisture
178,"41.8781, -87.6298",314,Barley,204.0,51.0,30,17,Medium,Monitor soil moisture
179,"40.7128, -74.0060",463,Soy,238.0,47.0,41,28,Low,Irrigate lightly
180,"29.7604, -95.3698",168,Corn,173.0,44.0,43,38,Low,Irrigate lightly
181,"41.8781, -87.6298",199,Soy,280.0,49.0,17,20,High,Increase irrigation
182,"41.8781, -87.6298",132,Soy,270.0,57.0,12,19,Medium,Increase water monitoring
183,"40.7128, -74.0060",191,Barley,121.0,49.0,35,29,Low,Increase irrigation
184,"41.8781, -87.6298",486,Corn,283.0,31.0,10,16,Medium,Irrigate lightly
185,"40.7128, -74.0060",174,Soy,170.0,55.0,41,13,High,Irrigate lightly
186,"29.7604, -95.3698",235,Rice,226.0,35.0,31,39,High,Monitor soil moisture
187,"36.7783, -119.4179",280,Corn,269.0,33.0,49,37,Medium,Monitor soil moisture
188,"40.7128, -74.0060",377,Rice,109.0,52.0,38,25,Low,Increase water monitoring
189,"29.7604, -95.3698",327,Soy,213.0,35.0,10,12,Low,Irrigate as needed
190,"36.7783, -119.4179",200,Soy,207.0,54.0,30,26,Medium,Irrigate as needed
191,"29.7604, -95.3698",409,Soy,122.0,39.0,46,26,High,Monitor soil moisture
192,"40.7128, -74.0060",424,Soy,252.0,49.0,24,23,High,Increase irrigation
193,"41.8781, -87.6298",465,Corn,286.0,41.0,35,12,High,Monitor soil moisture
194,"36.7783, -119.4179",447,Wheat,139.0,51.0,39,13,High,Irrigate lightly
195,"40.7128, -74.0060",372,Soy,175.0,39.0,44,33,High,Irrigate lightly
196,"40.7128, -74.0060",402,Wheat,295.0,45.0,43,27,High,Irrigate lightly
197,"36.7783, -119.4179",320,Barley,170.0,48.0,45,15,Medium,Increase irrigation
198,"29.7604, -95.3698",102,Soy,223.0,43.0,15,39,Medium,Monitor soil moisture
199,"36.7783, -119.4179",502,Barley,287.0,30.0,43,28,High,Irrigate lightly
200,"29.7604, -95.3698",519,Soy,284.0,41.0,47,39,Medium,Irrigate lightly
201,"41.8781, -87.6298",350,Barley,114.0,56.0,25,29,Low,Increase irrigation
202,"36.7783, -119.4179",575,Rice,242.0,57.0,38,11,High,Irrigate lightly
203,"41.8781, -87.6298",452,Wheat,121.0,42.0,35,10,Low,Irrigate lightly
204,"34.0522, -118.2437",594,Corn,213.0,47.0,16,30,Medium,Increase water monitoring
205,"29.7604, -95.3698",Unknown,Soy,239.0,34.0,37,32,Medium,Increase water monitoring
206,"29.7604, -95.3698",201,Barley,263.0,59.0,41,16,Medium,Increase irrigation
207,"36.7783, -119.4179",514,Barley,226.0,57.0,11,15,Medium,Irrigate lightly
208,"40.7128, -74.0060",554,Soy,132.0,47.0,34,23,High,Increase irrigation
209,"36.7783, -119.4179",244,Soy,168.0,36.0,10,37,High,Increase irrigation
210,"29.7604, -95.3698",151,Rice,177.0,34.0,15,10,High,Irrigate lightly
211,"36.7783, -119.4179",400,Soy,138.0,36.0,13,13,High,Irrigate as needed
212,"29.7604, -95.3698",187,Wheat,246.0,45.0,44,32,Medium,Increase water monitoring
213,"34.0522, -118.2437",378,Soy,112.0,40.0,32,28,Low,Monitor soil moisture
214,"34.0522, -118.2437",152,Rice,190.0,39.0,32,9999,Low,Irrigate lightly
215,"29.7604, -95.3698",113,Corn,277.0,58.0,47,27,High,Irrigate as needed
216,"36.7783, -119.4179",296,Soy,165.0,38.0,39,27,High,Increase water monitoring
217,"36.7783, -119.4179",246,Soy,192.0,57.0,11,18,Medium,Irrigate lightly
218,"29.7604, -95.3698",159,Rice,217.0,33.0,46,38,High,Irrigate lightly
219,"36.7783, -119.4179",383,Rice,273.0,46.0,31,29,High,Increase water monitoring
220,"29.7604, -95.3698",500,Corn,113.0,39.0,48,24,Medium,Irrigate lightly
221,"34.0522, -118.2437",263,Wheat,251.0,47.0,38,39,Medium,Irrigate lightly
222,"36.7783, -119.4179",571,Soy,,,32,19,Low,Irrigate lightly
223,"40.7128, -74.0060",309,Soy,243.0,,21,34,Medium,Increase water monitoring
224,"41.8781, -87.6298",271,Rice,167.0,38.0,34,10,Medium,Irrigate as needed
225,"29.7604, -95.3698",585,Soy,229.0,56.0,13,19,Low,Increase irrigation
226,"29.7604, -95.3698",564,Corn,227.0,40.0,38,30,Medium,Irrigate as needed
227,"34.0522, -118.2437",390,Corn,,32.0,38,27,High,Monitor soil moisture
228,"36.7783, -119.4179",513,Barley,201.0,56.0,18,12,Medium,Increase irrigation
229,"36.7783, -119.4179",597,Barley,154.0,40.0,15,27,High,Increase irrigation
230,"29.7604, -95.3698",365,Rice,238.0,37.0,36,31,Low,Increase water monitoring
231,"40.7128, -74.0060",271,Corn,213.0,36.0,23,18,Low,Increase water monitoring
232,"41.8781, -87.6298",242,Soy,279.0,37.0,20,22,High,Irrigate as needed
233,"40.7128, -74.0060",544,Wheat,272.0,45.0,35,27,Medium,Irrigate lightly
234,"29.7604, -95.3698",298,Barley,176.0,38.0,34,24,High,Increase irrigation
235,"29.7604, -95.3698",589,Barley,189.0,42.0,48,32,Low,Irrigate lightly
236,"40.7128, -74.0060",286,Soy,106.0,35.0,29,18,Medium,Increase water monitoring
237,"41.8781, -87.6298",344,Wheat,218.0,32.0,48,25,High,Irrigate as needed
238,"40.7128, -74.0060",344,Soy,110.0,58.0,21,28,Low,Monitor soil moisture
239,"36.7783, -119.4179",543,Rice,179.0,43.0,30,29,High,Irrigate lightly
240,"34.0522, -118.2437",361,Corn,235.0,45.0,34,13,Medium,Irrigate as needed
241,"40.7128, -74.0060",514,Rice,282.0,55.0,35,18,Low,Increase water monitoring
242,"41.8781, -87.6298",267,Corn,109.0,53.0,33,38,Low,Monitor soil moisture
243,"36.7783, -119.4179",577,Soy,142.0,34.0,19,20,Medium,Irrigate as needed
244,"29.7604, -95.3698",170,Wheat,140.0,32.0,25,37,Low,Irrigate lightly
245,"41.8781, -87.6298",277,Rice,286.0,53.0,38,20,Medium,Irrigate lightly
246,"36.7783, -119.4179",304,Barley,244.0,38.0,16,34,High,Increase water monitoring
247,"34.0522, -118.2437",109,Soy,156.0,31.0,N/A,27,Low,Irrigate lightly
248,"29.7604, -95.3698",534,Rice,109.0,43.0,30,22,High,Irrigate lightly
249,"29.7604, -95.3698",464,Barley,281.0,43.0,21,26,Medium,Increase water monitoring
250,"40.7128, -74.0060",374,Rice,290.0,32.0,43,37,Medium,Increase irrigation
251,"34.0522, -118.2437",310,Rice,262.0,33.0,37,28,Medium,Monitor soil moisture
252,"40.7128, -74.0060",319,Rice,117.0,40.0,37,13,High,Increase water monitoring
253,"29.7604, -95.3698",228,Wheat,260.0,32.0,33,20,High,Increase irrigation
254,"40.7128, -74.0060",571,Rice,175.0,,N/A,18,High,Monitor soil moisture
255,"34.0522, -118.2437",121,Barley,160.0,38.0,27,15,High,Irrigate as needed
256,"29.7604, -95.3698",155,Corn,182.0,33.0,49,30,Low,Monitor soil moisture
257,"41.8781, -87.6298",472,Soy,126.0,37.0,11,18,Low,Irrigate lightly
258,"40.7128, -74.0060",223,Wheat,220.0,30.0,44,30,Low,Irrigate as needed
259,"36.7783, -119.4179",354,Corn,292.0,37.0,17,13,Medium,Irrigate as needed
260,"29.7604, -95.3698",235,Corn,195.0,37.0,46,19,Low,Irrigate lightly
261,"29.7604, -95.3698",168,Soy,201.0,43.0,42,26,Low,Irrigate as needed
262,"41.8781, -87.6298",551,Barley,175.0,53.0,29,23,Medium,Irrigate as needed
263,"41.8781, -87.6298",267,Wheat,220.0,32.0,32,33,Low,Increase water monitoring
264,"34.0522, -118.2437",492,Wheat,242.0,51.0,19,28,High,Monitor soil moisture
265,"41.8781, -87.6298",245,Soy,141.0,39.0,48,26,Low,Irrigate lightly
266,"41.8781, -87.6298",523,Barley,264.0,50.0,41,17,High,Increase water monitoring
267,"29.7604, -95.3698",319,Barley,221.0,42.0,23,36,Medium,Irrigate as needed
268,"36.7783, -119.4179",374,Corn,176.0,41.0,19,15,High,Monitor soil moisture
269,"34.0522, -118.2437",530,Rice,129.0,33.0,47,23,Low,Irrigate lightly
270,"34.0522, -118.2437",573,Barley,114.0,43.0,47,23,High,Monitor soil moisture
271,"41.8781, -87.6298",596,Wheat,117.0,30.0,18,37,Low,Monitor soil moisture
272,"40.7128, -74.0060",438,Rice,113.0,30.0,10,29,Medium,Increase water monitoring
273,"40.7128, -74.0060",596,Corn,299.0,58.0,40,22,Medium,Increase water monitoring
274,"36.7783, -119.4179",543,Soy,239.0,57.0,28,29,High,Increase irrigation
275,"29.7604, -95.3698",285,Rice,172.0,42.0,41,38,Medium,Increase irrigation
276,"34.0522, -118.2437",150,Rice,223.0,46.0,20,39,Low,Irrigate as needed
277,"40.7128, -74.0060",560,Wheat,241.0,44.0,34,23,High,Irrigate lightly
278,"40.7128, -74.0060",262,Wheat,121.0,40.0,18,27,Low,Increase water monitoring
279,"41.8781, -87.6298",482,Corn,209.0,38.0,44,26,Low,Irrigate lightly
280,"34.0522, -118.2437",181,Barley,197.0,30.0,N/A,20,High,Monitor soil moisture
281,"41.8781, -87.6298",482,Corn,239.0,46.0,49,25,Medium,Increase water monitoring
282,"36.7783, -119.4179",421,Wheat,282.0,33.0,41,10,Low,Irrigate as needed
283,"41.8781, -87.6298",231,Barley,176.0,54.0,14,31,High,Monitor soil moisture
284,"29.7604, -95.3698",126,Soy,169.0,41.0,30,19,Medium,Monitor soil moisture
285,"29.7604, -95.3698",280,Soy,201.0,46.0,30,27,Low,Monitor soil moisture
286,"40.7128, -74.0060",365,Soy,295.0,37.0,13,16,High,Monitor soil moisture
287,"36.7783, -119.4179",186,Rice,267.0,33.0,22,16,Medium,Irrigate lightly
288,"41.8781, -87.6298",283,Corn,171.0,31.0,27,33,Medium,Irrigate lightly
289,"29.7604, -95.3698",414,Corn,106.0,46.0,43,23,Medium,Increase water monitoring
290,"40.7128, -74.0060",143,Barley,,41.0,21,17,Medium,Irrigate as needed
291,"29.7604, -95.3698",269,Soy,189.0,30.0,N/A,39,Low,Monitor soil moisture
292,"36.7783, -119.4179",579,Wheat,166.0,32.0,24,29,Medium,Increase water monitoring
293,"36.7783, -119.4179",358,Rice,130.0,56.0,32,11,Low,Increase irrigation
294,"36.7783, -119.4179",215,Barley,107.0,57.0,20,33,Medium,Increase water monitoring
295,"36.7783, -119.4179",159,Wheat,254.0,36.0,26,33,Low,Increase irrigation
296,"34.0522, -118.2437",126,Barley,263.0,45.0,36,39,Low,Irrigate as needed
297,"29.7604, -95.3698",251,Corn,162.0,56.0,29,15,Low,Irrigate as needed
298,"34.0522, -118.2437",339,Soy,190.0,40.0,10,38,High,Monitor soil moisture
299,"41.8781, -87.6298",417,Corn,141.0,30.0,35,24,Medium,Irrigate lightly
300,"34.0522, -118.2437",462,Soy,178.0,54.0,29,30,Low,Monitor soil moisture
301,"40.7128, -74.0060",393,Wheat,285.0,36.0,22,30,Medium,Increase irrigation
302,"40.7128, -74.0060",281,Rice,206.0,52.0,15,26,High,Irrigate as needed
303,"41.8781, -87.6298",445,Soy,296.0,53.0,37,36,Medium,Increase water monitoring
304,"29.7604, -95.3698",174,Wheat,213.0,57.0,38,38,Medium,Increase irrigation
305,"34.0522, -118.2437",469,Wheat,120.0,46.0,12,16,Low,Increase irrigation
306,"34.0522, -118.2437",565,Barley,131.0,50.0,49,37,High,Increase irrigation
307,"40.7128, -74.0060",383,Barley,158.0,41.0,23,12,Low,Increase irrigation
308,"36.7783, -119.4179",425,Soy,195.0,44.0,20,16,Low,Monitor soil moisture
309,"40.7128, -74.0060",488,Rice,232.0,50.0,45,38,High,Irrigate lightly
310,"40.7128, -74.0060",413,Rice,122.0,58.0,21,26,High,Irrigate as needed
311,"36.7783, -119.4179",231,Corn,108.0,46.0,13,11,High,Monitor soil moisture
312,"41.8781, -87.6298",267,Soy,215.0,39.0,21,18,Low,Monitor soil moisture
313,"41.8781, -87.6298",514,Barley,232.0,45.0,20,28,Low,Irrigate as needed
314,"29.7604, -95.3698",560,Soy,231.0,59.0,25,11,Low,Irrigate lightly
315,"34.0522, -118.2437",489,Rice,106.0,41.0,46,25,Medium,Increase irrigation
316,"29.7604, -95.3698",450,Barley,146.0,36.0,20,12,Medium,Irrigate lightly
317,"34.0522, -118.2437",242,Wheat,202.0,57.0,40,27,Low,Increase water monitoring
318,"34.0522, -118.2437",592,Soy,183.0,52.0,19,25,High,Irrigate lightly
319,"36.7783, -119.4179",283,Soy,137.0,55.0,20,36,High,Monitor soil moisture
320,"29.7604, -95.3698",475,Corn,246.0,,30,13,High,Irrigate lightly
321,"36.7783, -119.4179",415,Soy,252.0,39.0,28,26,Medium,Irrigate lightly
322,"34.0522, -118.2437",596,Wheat,165.0,48.0,14,12,Medium,Irrigate lightly
323,"34.0522, -118.2437",328,Rice,298.0,43.0,11,31,Low,Monitor soil moisture
324,"36.7783, -119.4179",Unknown,Soy,154.0,49.0,13,14,Low,Increase water monitoring
325,"34.0522, -118.2437",393,Barley,179.0,37.0,46,20,Low,Irrigate as needed
326,"29.7604, -95.3698",546,Corn,165.0,36.0,28,27,Low,Irrigate as needed
327,"29.7604, -95.3698",547,Soy,220.0,57.0,30,31,High,Monitor soil moisture
328,"29.7604, -95.3698",401,Barley,127.0,44.0,24,21,Low,Irrigate as needed
329,"41.8781, -87.6298",168,Soy,278.0,53.0,12,22,Low,Irrigate lightly
330,"40.7128, -74.0060",396,Soy,274.0,33.0,28,24,Medium,Increase water monitoring
331,"29.7604, -95.3698",230,Barley,268.0,48.0,19,21,Low,Monitor soil moisture
332,"41.8781, -87.6298",543,Rice,122.0,40.0,19,32,High,Increase water monitoring
333,"40.7128, -74.0060",427,Wheat,190.0,34.0,39,22,Low,Irrigate as needed
334,"34.0522, -118.2437",107,Corn,113.0,52.0,19,28,Medium,Increase water monitoring
335,"40.7128, -74.0060",253,Corn,155.0,44.0,32,39,High,Irrigate lightly
336,"36.7783, -119.4179",147,Soy,102.0,56.0,44,33,Medium,Increase water monitoring
337,"41.8781, -87.6298",559,Barley,192.0,59.0,46,12,Low,Irrigate lightly
338,"29.7604, -95.3698",577,Wheat,200.0,57.0,27,19,High,Irrigate lightly
339,"36.7783, -119.4179",518,Soy,263.0,37.0,20,34,Medium,Irrigate lightly
340,"40.7128, -74.0060",327,Soy,256.0,38.0,47,37,Low,Irrigate as needed
341,"41.8781, -87.6298",537,Soy,195.0,52.0,11,27,Low,Increase irrigation
342,"40.7128, -74.0060",512,Corn,258.0,38.0,13,18,Medium,Increase water monitoring
343,"36.7783, -119.4179",283,Corn,130.0,53.0,29,33,High,Irrigate as needed
344,"41.8781, -87.6298",444,Wheat,104.0,47.0,33,25,Medium,Monitor soil moisture
345,"36.7783, -119.4179",284,Wheat,201.0,52.0,21,15,Low,Irrigate lightly
346,"34.0522, -118.2437",286,Corn,104.0,45.0,45,12,Medium,Irrigate lightly
347,"34.0522, -118.2437",501,Wheat,113.0,35.0,11,29,Low,Increase water monitoring
348,"36.7783, -119.4179",438,Wheat,226.0,57.0,49,14,Medium,Irrigate lightly
349,"41.8781, -87.6298",578,Corn,218.0,35.0,44,21,Low,Monitor soil moisture
350,"36.7783, -119.4179",246,Rice,209.0,39.0,27,26,High,Increase water monitoring
351,"41.8781, -87.6298",562,Wheat,152.0,38.0,35,16,Medium,Monitor soil moisture
352,"41.8781, -87.6298",429,Soy,248.0,32.0,31,22,Low,Irrigate as needed
353,"29.7604, -95.3698",107,Corn,200.0,48.0,20,25,High,Increase water monitoring
354,"34.0522, -118.2437",562,Rice,,50.0,25,12,Medium,Increase water monitoring
